,time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
305,305,302.594918393,0.846557,0.0,0.0,301.748361393,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
306,306,373.854803131,0.0,0.0,47.5894911315877,326.2653119994123,248.055911488763,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
307,307,379.45765304599996,0.0,0.0,53.1923410465877,326.26531199941223,194.863570442176,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
308,308,411.57051998300005,0.0,0.0,85.3052079835878,326.26531199941223,109.558362458588,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
309,309,395.823674458,0.0,0.0,69.5583624585878,326.26531199941223,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
310,310,325.050259572,0.0,0.0,0.0,325.050259572,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
311,311,218.87188645400002,0.0,0.0,0.0,218.87188645400002,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
312,312,151.119164421,0.0,0.0,0.0,151.119164421,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
313,313,138.614124616,0.0,0.0,0.0,138.614124616,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
314,314,127.542349104,0.0,0.0,0.0,127.542349104,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
315,315,125.269937469,0.0,0.0,0.0,125.269937469,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
316,316,132.35910922899998,0.0,0.0,0.0,132.35910922899998,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
317,317,168.425531571,0.0,44.2418250589263,0.0,212.6673566299263,77.6055513000874,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
318,318,305.76777334,0.0,20.4975386594122,0.0,326.26531199941223,95.0284591605878,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
319,319,381.29377116,0.0,0.0,55.0284591605878,326.26531199941223,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
320,320,309.821869711,0.07203,0.0,0.0,309.749839711,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
321,321,272.794513296,3.6601399999999997,0.0,0.0,269.134373296,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
322,322,220.90034436099998,0.666201,0.0,0.0,220.23414336099998,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
323,323,215.89162567900001,3.220709,0.0,0.0,212.67091667900002,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
324,324,250.567106485,12.654781000000002,0.0,0.0,237.912325485,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
325,325,255.739827773,9.259551,0.0,0.0,246.480276773,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
326,326,248.785200883,4.592563,15.8568217729411,0.0,260.04945965594106,53.478298507,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
327,327,244.07077945900002,6.931669,89.1262015404122,0.0,326.26531199941223,129.23556981635,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
328,328,262.89665180099996,2.1676889999999998,65.5363491984123,0.0,326.26531199941223,184.941466635001,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
329,329,293.001049839,0.855534,34.1197961604122,0.0,326.26531199941223,213.943293371351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
330,330,348.035890068,0.0,0.0,21.7705780685878,326.26531199941223,192.172715302763,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
331,331,348.82568414300005,0.0,0.0,22.5603721435878,326.26531199941223,169.612343159176,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
332,332,393.693906641,0.0,0.0,67.4285946415878,326.26531199941223,102.183748517588,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
333,333,388.44906051699996,0.0,0.0,62.1837485175877,326.26531199941223,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
334,334,302.68086984,0.0,0.0,0.0,302.68086984,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
335,335,209.870599053,0.0,0.0,0.0,209.870599053,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
336,336,157.983516591,0.0,0.0,0.0,157.983516591,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
337,337,143.894497882,0.0,0.0,0.0,143.894497882,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
338,338,131.581256787,0.0,0.0,0.0,131.581256787,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
339,339,128.88018214,0.0,0.0,0.0,128.88018214,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
340,340,138.385521749,0.0,0.0,0.0,138.385521749,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
341,341,174.85941452900002,0.0,52.1049427453825,0.0,226.9643572743825,84.2892013335751,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
342,342,302.494769034,0.0,23.7705429654122,0.0,326.2653119994122,104.494162854175,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
343,343,380.561091804,0.0,0.0,54.2957798045878,326.2653119994122,50.1983830495877,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
344,344,336.626329049,0.162634,0.0,10.1983830495877,326.2653119994123,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
345,345,310.14563220400004,4.980175,0.0,0.0,305.16545720400006,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
