Node ID,Node Name,Zone ID,Reserve ID
49411,UN.HOPE    23  CV1W,4005,7000
49412,UN.HOPE    23  CV2W,4005,7000
49413,UN.HOPE    23  CV3W,4005,7000
4549,LD.HOPEWELL23,4004,7002
4303,LD.HOPKINTN13.8,4006,7000
4171,LD.HOTEL_RD34.5,4001,7000
37151,LD.HOTEL_RD12,4001,7000
37050,UN.HUCKN_HL34.5GROW,4002,7000
4223,LD.HUDSN_HD13.8,4007,7000
4408,LD.HUDSON  34.5,4002,7000
4411,LD.HUSE_RD 34.5,4002,7000
16249,LD.HYANIS_J24.0,4006,7000
4864,LD.HYDE_PRK13.8110A,4008,7003
4866,LD.HYDE_PRK13.8110B,4008,7003
4868,LD.IBM     115 K21 LD,4003,7000
4870,LD.IBM     115 K24 LD,4003,7000
389,UN.INDIAN  13.8DERB,4004,7001
4441,LD.INDIAN  13.8,4004,7001
4242,LD.INDSTLPK13.2,4006,7000
4487,LD.INGLESID13.8,4007,7000
4388,LD.INTERVAL34.5,4002,7000
4346,LD.IPSWICH 115,4008,7003
4447,LD.IRASBURG46,4003,7000
449,UN.JACKMAN 34.5JACK,4002,7000
4399,LD.JACKMAN 34.5,4002,7000
4167,LD.JAY     115,4001,7000
13703,UN.JAY     13.8VCG1,4001,7000
13704,UN.JAY     13.8VCG2,4001,7000
13705,UN.JAY     13.8VCG3,4001,7000
35979,UN.JAY_VT  46  KCW,4003,7000
40321,LD.JAY_VT  46,4003,7000
4286,LD.JOHNSTON23,4005,7000
10684,LD.JOHNSTON12.5,4005,7000
10959,UN.JOHNSTON23  JLF2,4005,7000
50637,UN.JOHNSTON23  JS1W,4005,7000
50638,UN.JOHNSTON23  JS2W,4005,7000
50639,UN.JOHNSTON23  JS3W,4005,7000
50640,UN.JOHNSTON23  JS4W,4005,7000
50641,UN.JOHNSTON23  JS5W,4005,7000
50642,UN.JOHNSTON23  JS6W,4005,7000
50643,UN.JOHNSTON23  JS7W,4005,7000
4442,LD.JUNE_ST 13.8,4004,7001
466,UN.K_STREET115 LST,4008,7003
4092,LD.K_STREET13.8,4008,7003
4400,LD.KEENE   12.5,4002,7000
43790,LD.KEENE_RD46,4001,7000
452,UN.KENDALL 13.8KDJ1,4008,7003
1672,UN.KENDALL 18.0KEN4,4008,7003
4250,LD.KENDALL 13.8,4008,7003
10347,UN.KENDALL 13.8KND1,4008,7003
10348,UN.KENDALL 13.8KND2,4008,7003
10349,UN.KENDALL 13.8KND3,4008,7003
4255,LD.KENTCNTY34.5,4005,7000
48168,LD.KENTCNTY12.5,4005,7000
4277,LD.KENYON  12.5,4005,7000
12551,UN.KIBBY   34.5KIBY,4001,7000
