,month,day,hour,insolation_pu
5322,8,10,18,0.02310432310038861
5323,8,10,19,0.0
5324,8,10,20,0.0
5325,8,10,21,0.0
5326,8,10,22,0.0
5327,8,10,23,0.0
5328,8,10,24,0.0
5329,8,11,1,0.0
5330,8,11,2,0.0
5331,8,11,3,0.0
5332,8,11,4,0.0
5333,8,11,5,0.01019938472391722
5334,8,11,6,0.13264655914172932
5335,8,11,7,0.2972191068991228
5336,8,11,8,0.4492887905405397
5337,8,11,9,0.5558594852645807
5338,8,11,10,0.6235440121458791
5339,8,11,11,0.6593179042501174
5340,8,11,12,0.6484739718089588
5341,8,11,13,0.6141777517309776
5342,8,11,14,0.532275485789764
5343,8,11,15,0.41397661313423045
5344,8,11,16,0.28230546126144374
5345,8,11,17,0.14215819846811373
5346,8,11,18,0.021184928627638485
5347,8,11,19,0.0
5348,8,11,20,0.0
5349,8,11,21,0.0
5350,8,11,22,0.0
5351,8,11,23,0.0
5352,8,11,24,0.0
5353,8,12,1,0.0
5354,8,12,2,0.0
5355,8,12,3,0.0
5356,8,12,4,0.0
5357,8,12,5,0.00920438127290821
5358,8,12,6,0.14087928027061936
5359,8,12,7,0.32291843634846207
5360,8,12,8,0.47506674371987545
5361,8,12,9,0.5955663869940816
5362,8,12,10,0.6667907293422805
5363,8,12,11,0.6943783413478878
5364,8,12,12,0.6896800158599256
5365,8,12,13,0.6427852633637225
5366,8,12,14,0.5711482505354493
5367,8,12,15,0.4664024923062733
5368,8,12,16,0.31453531665881246
5369,8,12,17,0.1484701127750492
5370,8,12,18,0.019509580037318328
5371,8,12,19,0.0
5372,8,12,20,0.0
5373,8,12,21,0.0
5374,8,12,22,0.0
5375,8,12,23,0.0
5376,8,12,24,0.0
5377,8,13,1,0.0
5378,8,13,2,0.0
5379,8,13,3,0.0
5380,8,13,4,0.0
5381,8,13,5,0.006253382540689566
5382,8,13,6,0.1157327765394911
5383,8,13,7,0.2728234440704425
5384,8,13,8,0.42168526575150006
5385,8,13,9,0.5274228344123132
5386,8,13,10,0.6105171347511796
5387,8,13,11,0.648462012226442
5388,8,13,12,0.6356388728757856
5389,8,13,13,0.6040403629115716
5390,8,13,14,0.5198993589041359
5391,8,13,15,0.4216822860950732
5392,8,13,16,0.2844947061827247
5393,8,13,17,0.1324241416592236
5394,8,13,18,0.01634535859412329
5395,8,13,19,0.0
5396,8,13,20,0.0
5397,8,13,21,0.0
5398,8,13,22,0.0
5399,8,13,23,0.0
5400,8,13,24,0.0
5401,8,14,1,0.0
5402,8,14,2,0.0
5403,8,14,3,0.0
5404,8,14,4,0.0
5405,8,14,5,0.005908825511772944
5406,8,14,6,0.128566401948253
5407,8,14,7,0.2888603485801814
5408,8,14,8,0.41100749974212675
5409,8,14,9,0.5036237922437236
5410,8,14,10,0.58115315605879
5411,8,14,11,0.6232110395048854
5412,8,14,12,0.6154649094230047
5413,8,14,13,0.5855224687069852
5414,8,14,14,0.5227776923787086
5415,8,14,15,0.4089714471018175
5416,8,14,16,0.27561139090700365
5417,8,14,17,0.12710404592768842
5418,8,14,18,0.014958265719963613
5419,8,14,19,0.0
5420,8,14,20,0.0
5421,8,14,21,0.0
5422,8,14,22,0.0
5423,8,14,23,0.0
5424,8,14,24,0.0
5425,8,15,1,0.0
5426,8,15,2,0.0
5427,8,15,3,0.0
5428,8,15,4,0.0
5429,8,15,5,0.003707198093220245
5430,8,15,6,0.10399794489313038
5431,8,15,7,0.22655536022547418
5432,8,15,8,0.3473550643421338
5433,8,15,9,0.4446979530039474
5434,8,15,10,0.5130514422075286
5435,8,15,11,0.55388261797314
5436,8,15,12,0.5804962307427962
5437,8,15,13,0.5724081454525576
5438,8,15,14,0.49727510202747355
5439,8,15,15,0.3791054154301052
5440,8,15,16,0.2494287074860243
5441,8,15,17,0.11121447020514609
5442,8,15,18,0.010069583322500346
5443,8,15,19,0.0
5444,8,15,20,0.0
5445,8,15,21,0.0
5446,8,15,22,0.0
5447,8,15,23,0.0
5448,8,15,24,0.0
5449,8,16,1,0.0
5450,8,16,2,0.0
5451,8,16,3,0.0
5452,8,16,4,0.0
5453,8,16,5,0.0028232210281249645
5454,8,16,6,0.10197107598188736
5455,8,16,7,0.23949656522510807
5456,8,16,8,0.3740011223382907
5457,8,16,9,0.47779540819918226
5458,8,16,10,0.5605215367957266
5459,8,16,11,0.570105351208736
5460,8,16,12,0.5901460018846268
5461,8,16,13,0.5773551967742844
5462,8,16,14,0.525907244834318
5463,8,16,15,0.4271400882184169
5464,8,16,16,0.2942692095780158
5465,8,16,17,0.1340930167767751
5466,8,16,18,0.011244294048788756
5467,8,16,19,0.0
5468,8,16,20,0.0
5469,8,16,21,0.0
5470,8,16,22,0.0
5471,8,16,23,0.0
5472,8,16,24,0.0
5473,8,17,1,0.0
5474,8,17,2,0.0
5475,8,17,3,0.0
5476,8,17,4,0.0
5477,8,17,5,0.0021573101462205387
5478,8,17,6,0.11551742617507933
5479,8,17,7,0.27863331569317057
5480,8,17,8,0.42508319309206866
5481,8,17,9,0.5378269566617037
5482,8,17,10,0.6169158691443624
5483,8,17,11,0.660641873740734
5484,8,17,12,0.6540349262952603
5485,8,17,13,0.6168817896494174
5486,8,17,14,0.5502250071725748
5487,8,17,15,0.43637267825016224
5488,8,17,16,0.2836450364970494
5489,8,17,17,0.12409623494103554
5490,8,17,18,0.008372197468627553
5491,8,17,19,0.0
5492,8,17,20,0.0
5493,8,17,21,0.0
5494,8,17,22,0.0
5495,8,17,23,0.0
5496,8,17,24,0.0
5497,8,18,1,0.0
5498,8,18,2,0.0
5499,8,18,3,0.0
5500,8,18,4,0.0
5501,8,18,5,0.0012486155169809871
5502,8,18,6,0.08434933020554176
5503,8,18,7,0.21740580362359693
5504,8,18,8,0.3701432945816725
5505,8,18,9,0.49577252828782237
5506,8,18,10,0.5948719436636993
5507,8,18,11,0.6408089516917183
5508,8,18,12,0.6441446545271997
5509,8,18,13,0.619867671133594
5510,8,18,14,0.5470255082251202
5511,8,18,15,0.43956296186947197
5512,8,18,16,0.2967236198975579
5513,8,18,17,0.12718862762798183
5514,8,18,18,0.005617222743750136
5515,8,18,19,0.0
5516,8,18,20,0.0
5517,8,18,21,0.0
5518,8,18,22,0.0
5519,8,18,23,0.0
5520,8,18,24,0.0
5521,8,19,1,0.0
5522,8,19,2,0.0
5523,8,19,3,0.0
5524,8,19,4,0.0
5525,8,19,5,0.0008154876708174829
5526,8,19,6,0.11066663291617343
5527,8,19,7,0.26858715633615576
5528,8,19,8,0.42566143172654985
5529,8,19,9,0.5576712515751179
5530,8,19,10,0.622411944194614
5531,8,19,11,0.638843989390744
5532,8,19,12,0.6323753630630866
5533,8,19,13,0.5856365353052023
5534,8,19,14,0.49156379262563105
5535,8,19,15,0.3736861984758669
5536,8,19,16,0.2354942985269867
5537,8,19,17,0.1040031511860052
5538,8,19,18,0.004212573146988475
5539,8,19,19,0.0
5540,8,19,20,0.0
5541,8,19,21,0.0
5542,8,19,22,0.0
5543,8,19,23,0.0
5544,8,19,24,0.0
5545,8,20,1,0.0
5546,8,20,2,0.0
5547,8,20,3,0.0
5548,8,20,4,0.0
5549,8,20,5,0.0002849662265532997
5550,8,20,6,0.08194483023466945
5551,8,20,7,0.22246799006412507
5552,8,20,8,0.35851154706086963
5553,8,20,9,0.5005765928447959
5554,8,20,10,0.588174647379827
5555,8,20,11,0.6457166598443603
5556,8,20,12,0.657186017350856
5557,8,20,13,0.6249183439351066
5558,8,20,14,0.516978788676605
5559,8,20,15,0.40359654981101434
5560,8,20,16,0.2655671991944856
5561,8,20,17,0.11257414399357282
5562,8,20,18,0.0030966526728952977
5563,8,20,19,0.0
5564,8,20,20,0.0
5565,8,20,21,0.0
5566,8,20,22,0.0
5567,8,20,23,0.0
5568,8,20,24,0.0
5569,8,21,1,0.0
5570,8,21,2,0.0
5571,8,21,3,0.0
5572,8,21,4,0.0
5573,8,21,5,0.00016738463071479294
5574,8,21,6,0.11383564846341601
5575,8,21,7,0.25543863638430064
5576,8,21,8,0.39456610336252573
5577,8,21,9,0.47004975155747597
5578,8,21,10,0.495681789180847
5579,8,21,11,0.5367970604931552
5580,8,21,12,0.5477470155189176
5581,8,21,13,0.5343738550083387
5582,8,21,14,0.4884018021622062
5583,8,21,15,0.4173524545185419
5584,8,21,16,0.288872709507269
5585,8,21,17,0.12129839823686803
5586,8,21,18,0.002060203358260389
5587,8,21,19,0.0
5588,8,21,20,0.0
5589,8,21,21,0.0
5590,8,21,22,0.0
5591,8,21,23,0.0
5592,8,21,24,0.0
5593,8,22,1,0.0
5594,8,22,2,0.0
5595,8,22,3,0.0
5596,8,22,4,0.0
5597,8,22,5,3.497274405406834e-05
5598,8,22,6,0.11330792640120166
5599,8,22,7,0.27481900054996217
5600,8,22,8,0.4340027795110697
5601,8,22,9,0.5560037909088774
5602,8,22,10,0.6220789734230476
5603,8,22,11,0.6491439551834853
5604,8,22,12,0.6622645465700798
5605,8,22,13,0.6238138429448833
5606,8,22,14,0.5436227612700621
5607,8,22,15,0.43610140434464667
5608,8,22,16,0.28822088784978445
5609,8,22,17,0.11831056109674519
5610,8,22,18,0.0009624002315719815
5611,8,22,19,0.0
5612,8,22,20,0.0
5613,8,22,21,0.0
5614,8,22,22,0.0
5615,8,22,23,0.0
5616,8,22,24,0.0
5617,8,23,1,0.0
5618,8,23,2,0.0
5619,8,23,3,0.0
5620,8,23,4,0.0
5621,8,23,5,4.406845413950746e-06
5622,8,23,6,0.10124518779188142
5623,8,23,7,0.25450742700563456
5624,8,23,8,0.39885412257425895
5625,8,23,9,0.5120320559770273
5626,8,23,10,0.5756074073786681
5627,8,23,11,0.5996367808311484
5628,8,23,12,0.6169000710913145
5629,8,23,13,0.6047622914541823
5630,8,23,14,0.537993759709212
5631,8,23,15,0.43079466863419213
5632,8,23,16,0.28536520778198715
5633,8,23,17,0.11357633924188588
5634,8,23,18,0.0005958742007240692
5635,8,23,19,0.0
5636,8,23,20,0.0
5637,8,23,21,0.0
5638,8,23,22,0.0
5639,8,23,23,0.0
5640,8,23,24,0.0
5641,8,24,1,0.0
5642,8,24,2,0.0
5643,8,24,3,0.0
5644,8,24,4,0.0
5645,8,24,5,2.869512792684607e-07
5646,8,24,6,0.07678203070433104
5647,8,24,7,0.19267136414100053
5648,8,24,8,0.31926784735316527
5649,8,24,9,0.4368290213706847
5650,8,24,10,0.493452040267176
5651,8,24,11,0.5353828724043049
5652,8,24,12,0.5342908101034819
5653,8,24,13,0.5279894380648225
5654,8,24,14,0.47904436476759166
5655,8,24,15,0.38386512235871584
